2020-08-19 14:39:39.858 [restartedMain] INFO  c.d.z.ZabbixAgentApiServiceApplication - Starting ZabbixAgentApiServiceApplication on wangrsa with PID 6632 (D:\zabbix-agent-api-service\target\classes started by wangrsa in D:\zabbix-agent-api-service)
2020-08-19 14:39:39.863 [restartedMain] INFO  c.d.z.ZabbixAgentApiServiceApplication - No active profile set, falling back to default profiles: default
2020-08-19 14:39:39.943 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-08-19 14:39:39.943 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-08-19 14:39:41.480 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7000 (http)
2020-08-19 14:39:41.495 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7000"]
2020-08-19 14:39:41.496 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-19 14:39:41.496 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-19 14:39:41.700 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/zabbixagent] - Initializing Spring embedded WebApplicationContext
2020-08-19 14:39:41.700 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1755 ms
2020-08-19 14:39:42.046 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-19 14:39:42.385 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-08-19 14:39:42.409 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7000"]
2020-08-19 14:39:42.456 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 7000 (http) with context path '/zabbixagent'
2020-08-19 14:39:42.476 [restartedMain] INFO  c.d.z.ZabbixAgentApiServiceApplication - Started ZabbixAgentApiServiceApplication in 3.36 seconds (JVM running for 4.976)
2020-08-19 14:40:08.160 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
